date,text_day,code_day,text_night,code_night,high,low
2025/11/1,阵雨,03,多云,01,28,22
2025/10/31,多云,01,阴,02,30,21
2025/10/30,多云,01,多云,01,28,23
2025/10/29,多云,01,阴,02,28,23
2025/10/28,多云,01,多云,01,26,21
2025/10/27,阴,02,多云,01,26,22
2025/10/26,多云,01,多云,01,29,22
2025/10/25,多云,01,多云,01,28,21
2025/10/24,多云,01,多云,01,23,20
2025/10/23,阴,02,阴,02,22,18
2025/10/22,阵雨,03,阴,02,20,16
2025/10/21,阵雨,03,中雨,08,22,17
2025/10/20,小雨,07,小雨,07,29,19
2025/10/19,多云,01,多云,01,33,24
2025/10/18,晴,00,多云,01,34,26
2025/10/17,晴,00,晴,00,33,26
2025/10/16,晴,00,晴,00,33,26
2025/10/15,多云,01,多云,01,33,26
2025/10/14,多云,01,多云,01,32,26
2025/10/13,阵雨,03,阵雨,03,31,26
2025/10/12,阵雨,03,阵雨,03,31,25
2025/10/11,多云,01,阵雨,03,32,26
2025/10/10,晴,00,多云,01,34,26
2025/10/9,晴,00,晴,00,34,26
2025/10/8,晴,00,晴,00,34,26
2025/10/7,多云,01,晴,00,34,26
2025/10/6,阵雨,03,多云,01,33,25
2025/10/5,雷阵雨,04,阵雨,03,31,26
2025/10/4,雷阵雨,04,雷阵雨,04,34,25
2025/10/3,晴,00,阵雨,03,34,26
2025/10/2,晴,00,晴,00,34,26
2025/10/1,晴,00,晴,00,33,26
2025/9/30,晴,00,晴,00,33,26
2025/9/29,多云,01,晴,00,32,26
2025/9/28,多云,01,多云,01,32,27
2025/9/27,多云,01,多云,01,32,27
2025/9/26,多云,01,多云,01,31,26
2025/9/25,阵雨,03,多云,01,29,26
2025/9/24,暴雨,10,大到暴雨,23,28,24
2025/9/23,暴雨,10,大暴雨,11,34,24
2025/9/22,多云,01,雷阵雨,04,34,26
2025/9/21,雷阵雨,04,多云,01,30,25
2025/9/20,阵雨,03,暴雨,10,28,24
2025/9/19,阵雨,03,大雨,09,30,24
2025/9/18,阵雨,03,阵雨,03,34,25
2025/9/17,多云,01,多云,01,33,28
2025/9/16,阵雨,03,多云,01,33,26
2025/9/15,多云,01,多云,01,33,26
2025/9/14,晴,00,多云,01,33,26
2025/9/13,晴,00,晴,00,34,26
2025/9/12,晴,00,晴,00,33,26
2025/9/11,晴,00,晴,00,33,26
2025/9/10,阵雨,03,晴,00,32,26
2025/9/9,阵雨,03,阵雨,03,31,26
2025/9/8,暴雨,10,大雨,09,29,26
2025/9/7,阵雨,03,暴雨,10,31,25
2025/9/6,多云,01,阵雨,03,34,27
2025/9/5,晴,00,晴,00,34,27
2025/9/4,多云,01,多云,01,34,27
2025/9/3,雷阵雨,04,多云,01,34,27
2025/9/2,晴,00,多云,01,33,26
2025/9/1,晴,00,多云,01,34,26
2025/8/31,阵雨,03,阵雨,03,32,26
2025/8/30,阵雨,03,多云,01,33,27
2025/8/29,阵雨,03,多云,01,33,28
2025/8/28,小雨,07,阵雨,03,29,26
2025/8/27,小雨,07,小雨,07,31,24
2025/8/26,晴,00,小雨,07,31,25
2025/8/25,小雨,07,小雨,07,29,25
2025/8/24,小雨,07,小雨,07,29,25
2025/8/23,小雨,07,小雨,07,31,26
2025/8/22,小雨,07,多云,01,32,26
2025/8/21,小雨,07,阴,02,29,25
2025/8/20,小雨,07,小雨,07,29,26
2025/8/19,小雨,07,小雨,07,28,25
2025/8/18,中雨,08,小雨,07,26,24
2025/8/17,小雨,07,中雨,08,26,24
2025/8/16,小雨,07,小雨,07,28,26
2025/8/15,小雨,07,小雨,07,28,25
2025/8/14,中雨,08,小雨,07,26,25
2025/8/13,小雨,07,小雨,07,29,26
2025/8/12,小雨,07,小雨,07,28,26
2025/8/11,大雨,09,小雨,07,28,26
2025/8/10,小雨,07,小雨,07,28,25
2025/8/9,小雨,07,小雨,07,28,26
2025/8/8,小雨,07,阴,02,28,25
2025/8/7,小雨,07,小雨,07,28,26
2025/8/6,小雨,07,小雨,07,28,26
2025/8/5,暴雨,10,中雨,08,30,25
2025/8/4,暴雨,10,暴雨,10,29,25
2025/8/3,暴雨,10,暴雨,10,30,26
2025/8/2,暴雨,10,暴雨,10,31,25
2025/8/1,雷阵雨,04,雷阵雨,04,32,25
2025/7/31,雷阵雨,04,雷阵雨,04,32,25
2025/7/30,中雨,08,雷阵雨,04,33,26
2025/7/29,雷阵雨,04,雷阵雨,04,31,26
2025/7/28,阵雨,03,大雨,09,32,26
2025/7/27,多云,01,多云,01,34,27
2025/7/26,多云,01,晴,00,33,27
2025/7/25,晴,00,晴,00,34,28
2025/7/24,多云,01,晴,00,34,27
2025/7/23,阵雨,03,多云,01,32,27
2025/7/22,大雨,09,阵雨,03,31,26
2025/7/21,暴雨,10,阵雨,03,29,25
2025/7/20,暴雨,10,暴雨,10,29,26
2025/7/19,大到暴雨,23,大到暴雨,23,35,26
2025/7/18,雷阵雨,04,雷阵雨,04,33,27
2025/7/17,晴,00,多云,01,35,28
2025/7/16,阵雨,03,多云,01,34,28
2025/7/15,晴,00,多云,01,33,28
